Project ID,Title,Link,Budget,Description,Beneficiary Category,Indicator,Baseline,Target,Notes,Donors,Gender (% female),VF or Non-VF,Tag,SEH Taxonomy,RISE Taxonomy,Flagship,Technology,Output ID,Country Code,Category,Country Name,m49,continent-region,sub-region,sids-region,un-member,undp-sids,un-region,Region,Economy,LDC,SIDS,LLDC,HDI,Direct Conversion Factor,Direct Beneficiaries,Output Category,Beneficiary Category Pre
6613,Africa Mini-grids Program,https://co.pims.undp.org/project/view?id=6613,1363947,"Provide energy access to 4,936 beneficiaries, including 2,242 women, through mini-grids in Zambia. The beneficiaries are disaggregated by gender and customer segment (residential, social, commercial/productive use).",Agriculture and Food System,"Number of direct beneficiaries benefitting from energy access via minigrids, disaggregated by gender and by customer segment (residential, social, commercial/productive use) as co-benefit of GEF investment",0,4936,"Total of 4,396 beneficiaries (2242 women), 4,190 residential, 80 social services, 126 people (commercial/PUE)",GEF,51,VF,,Close the gap on energy access,,,,6613-1,ZMB,,Zambia,894,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Medium,1,4936,Energy Access,Agriculture and Food System
6613,Africa Mini-grids Program,https://co.pims.undp.org/project/view?id=6613,1363947,Mitigate 13.78 ktCO2 of greenhouse gas emissions through the Africa Mini-grids Program in Zambia.,Other, Greenhouse gas emissions mitigated (tCO­2­ lifetime reduction,0,13780,Direct lifetime emission reduction (ER) of 13.78 ktCO2; Indirect ER = 643.33 MtCO2.,GEF,,VF,,Close the gap on energy access,,,,6613-2,ZMB,,Zambia,894,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Medium,0,0,GHG Emissions Reduction,GHG Emissions Reduction
6613,Africa Mini-grids Program,https://co.pims.undp.org/project/view?id=6613,1363947,Install 450 kW of solar PV capacity and 1.091 MWh of battery storage in Zambia as part of the Africa Mini-grids Program.,Solar,Increase in installed solar PV capacity and battery storage  [kW -solar – MWh battery],0,0.45,"Minigrid pilots, installed solar capacity of 450 kW with 1.091 MWh of storage capacity",GEF,,VF,,Close the gap on energy access,,,Solar,6613-3,ZMB,,Zambia,894,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Medium,17500,7875,Energy Transition,Energy (MW added)
missing-ZMB-1,Solar For health,,,"Provide access to modern electricity service for an estimated 810,000 beneficiaries through the Solar For Health project in Zambia.",Health Services,Number of people have access to modern electricity service,,810000,"Number of benificiaries is estimated 810,000",,,Non-VF,,Close the gap on energy access,,,,missing-ZMB-1-1,ZMB,,Zambia,894,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Medium,1,810000,Energy Access,Health Services
missing-ZMB-1,Solar For health,,,Provide uninterrupted power supply to 1002 health facilities with 9 MW and deliver quality health services in Zambia through the Solar For Health project.,Other,Number of health facilities that have access to unintrupted power supply and delivering quality health services,50,1002,The project is under development and would be finance GCF and start implementation in 2024 Q2. The project would provide unintrupted power supply to 1002 health facilitied and 9 Megawats ,,,Non-VF,,Close the gap on energy access,,,,missing-ZMB-1-2,ZMB,,Zambia,894,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Medium,0,0,Other,nan
missing-ZMB-2,Greening UNDP Office,,222653.39,"Install a 150 kWp solar PV system in Zambia's UN Common premises, reducing greenhouse gas emissions by 28.12 tCO2 annually and saving USD 4100 in electricity costs.",Solar,Greenhouse gas emissions mitigated and costs for electricity reduced.,0,0.15,"This is a joint project to install a 150 kWp solar PV system producing 264,123kWh annually by the UN Common premises in Zambia.
28.12 tCO2 reduction annually, with annual monetary savings of USD 4100","UNDP, UNICEF, UNFPA, UNCDF, RCO, UNDSS, UNCTAD, DCO.",,Non-VF,,Accelerating just energy transition,,,Solar,missing-ZMB-2-1,ZMB,,Zambia,894,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Medium,17500,2625,Energy Transition,Energy (MW added)
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000,Increase cumulative installed capacity of clean energy mini-grids in project area from 0.385 MW to 2.025 MW through the implementation of 3 minigrids.,Some Sources,Cumulative Installed capacity of clean energy mini-grids (MW) in project area,0.385,2.025,3 minigrids; 385kW  (2019),UNDP,,Non-VF,,Close the gap on energy access,,,Some Sources,126170.0-1,MWI,,Malawi,454,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Low,17500,28700,Energy Transition,Energy (MW added)
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000,"Connect 9416 households to mini grids, increasing access to clean and renewable energy in Malawi.",Clean Electricity,Number of Households connected to the mini grids in the project areas,1250 HH,9416,2200 Housoldes in three different project sites. 4.5 as average of people per Houselds,,,Non-VF,,Close the gap on energy access,,,Some Sources,126170.0-2,MWI,,Malawi,454,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Low,1,9416,Energy Access,Electricity Access
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000,"Connect 15 productive users to mini-grids in Malawi, supporting income-generating activities in health care, agriculture, education, and business/industry.",Clean Electricity,Number of Productive Users connected to the mini-grids in the project areas,0,15,"Productive Users may include health care, agricultural mechanization, educational and business/industrial activities. Productive use  of energy are income generating activities that are directly positively affected by the use of electric energy from the mini grid. ",,,Non-VF,,Close the gap on energy access,,,Some Sources,126170.0-3,MWI,,Malawi,454,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Low,1,15,Energy Access,Electricity Access
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000,"Provide access to clean and renewable energy for 10,000 beneficiaries in Malawi from 5 schools through the ACRE Project, improving sustainability, efficiency, and cost-effectiveness of energy technologies.",Education Services,Number of beneficiaries per school,,10000, 5 Schools with an estimated number of 2000 benificiaries per school.,,,Non-VF,,Close the gap on energy access,,,,126170.0-4,MWI,,Malawi,454,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Low,1,10000,Energy Access,Education Services
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000,"Provide access to clean, affordable, reliable, and modern energy to an estimated 210,000 individuals through the enhancement of energy technologies in 6 health centres.",Health Services,,,210000,6 Health centres benefiting an estimate of 35000 individuals per centre.,,,Non-VF,,Close the gap on energy access,,,,126170.0-5,MWI,,Malawi,454,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Low,1,210000,Energy Access,Health Services
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000,"Enhance the sustainability, efficiency, and cost-effectiveness of energy technologies to increase access to clean, affordable, reliable, and modern energy.",Transition Missing,,,nan,"National Energy Policy Revision, Malawi Renewable Energy Strategy, Mini Grid Regulatory Framework.  Support Malawi Bureau of Standarsd with Renewable energy testing equipment. ",,,Non-VF,,Close the gap on energy access,Renewable Energy,,,126170.0-6,MWI,,Malawi,454,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Low,0,0,Energy Transition,Policy or Regulatory Framework
6512,GEF Africa Minigrids Program,PIMS+,396125,Mitigate 1068 metric tons of greenhouse gas emissions (tCO2) through the GEF Africa Minigrids Program in Malawi.,Other,Greenhouse gas emissions mitigated tCO2,0,1068,1068 metric tons of carbon dioxide equivalent (Units of measure: metric tons of CO2e),GEF,,VF,,Close the gap on energy access,,,,6512.0-1,MWI,,Malawi,454,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Low,0,0,GHG Emissions Reduction,GHG Emissions Reduction
6512,GEF Africa Minigrids Program,PIMS+,396125,Provide access to clean energy for 763 direct beneficiaries in Malawi by increasing the financial viability and promoting scaled-up commercial investment in minigrids.,Clean Electricity,Number of direct beneficiaries disaggregated by gender (and customer segment) as co-benefit of GEF investment ,0,763,,,0.51,VF,,Close the gap on energy access,,,Solar,6512.0-2,MWI,,Malawi,454,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Low,1,763,Energy Access,Electricity Access
6512,GEF Africa Minigrids Program,PIMS+,396125,"Create 10 direct primary jobs in the minigrid sector, with a target of 50% female representation, to support access to clean energy in Malawi.",Other,"Number of direct primary jobs created in the minigrid sector, disaggregated by gender, for minigrid development, operation and productive use",0,10,,,0.5,VF,,Close the gap on energy access,,,,6512.0-3,MWI,,Malawi,454,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Low income,LDC,,LLDC,Low,0,0,Other,nan
5728,LED and high efficiency transformers in SA,https://co.pims.undp.org/project/view?id=5728,5000000,Reduce cumulative savings of tCO2 by 18.5 ktCO2 through the implementation of LED and high efficiency transformers.,Other,Cumulative savings of tCO2,63.4 ktCO2 of GHG emissions due to lighting is projected to decline to 44.9 ktCO2 at EoP under business as usual and to 43.4 ktCO2 in 2030. Emissions due to transformer losses in will increase to 19.8ktCO2 at EoP (2023) and 23.1 ktCO2 in 2030 ,21100,,GEF,,VF,,Accelerating just energy transition,,,,5728-1,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,GHG Emissions Reduction,GHG Emissions Reduction
5728,LED and high efficiency transformers in SA,https://co.pims.undp.org/project/view?id=5728,5000000,"Install LED lights and high efficiency transformers in 1,680,000 households in South Africa as part of an energy efficiency project.",Efficiency,Number of households,,1680000,,GEF,,VF,,Accelerating just energy transition,,,,5728-2,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Energy Transition,Energy Efficiency Services
5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250,"Beneficiaries: 74,230 people benefit annually from project-supported new wind-generated electricity.",Clean Electricity,Beneficiaries,,74230,"1,367 GWh cumulative by end-2018. 74,230 individuals will benefit annually from project-supported new wind-generated lectricity.44Direct greenhouse gas reductions of 70,378 tCO2 cumulative by end-2018 (using a conservative 5% project causality factor). ",Department of Energy. South Africa,,VF,,Accelerating just energy transition,,,Wind,5256-1,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,1,74230,Energy Access,Electricity Access
5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250,"Achieve cumulative savings of 70,378 tCO2 through the South Africa Wind Energy Project (Phase II).",Other,Cumulative savings of tCO2,,70378,,"Department of Trade, Industry and Competition, South Africa",,VF,,Accelerating just energy transition,,,,5256-2,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,GHG Emissions Reduction,GHG Emissions Reduction
5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250,Develop and implement a monitoring and verification system at the Department of Energy (IPP Unit) by the end of 2015 to enhance capability in monitoring and verifying the implementation of local content requirements in the South Africa Wind Energy Project (Phase II).,Transition Missing,"1.1 Enhanced, technology-enabled capability among Government and industry stakeholders to monitor and verify implementation of local content requirements",GIZ-supported reporting system in place  at DoE IPP Unit. Quarterly reports filed by IPPs but no verification. No systematic review and consolidation of lessons learned.,nan,"M&V system and supporting business processes defined, developed and implemented at the DoE (IPP 
Unit) by end-2015.","Department of Science and Innovation, South Africa",,VF,,Accelerating just energy transition,Renewable Energy,,,5256-3,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Energy Transition,Policy or Regulatory Framework
5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250,Develop a 1.8 MW small-scale wind farm demonstration project as part of the South Africa Wind Energy Project (Phase II).,Wind,MW,No small-scale wind farms installed.,1.8,1.8 MW small-scale wind farm demonstration project –developed.,,,VF,,Accelerating just energy transition,,,Wind,5256-4,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,17500,31500,Energy Transition,Energy (MW added)
missing-ZAF-1,Just Energy Transition Platform,,273333,"Promote policy-oriented research, stimulate critical debates, and create different narratives on the just energy transition in South Africa. Function as a learning exchange platform for leaders and present policy recommendations for implementation.",Transition Missing,"Output 1: Promote policy oriented research; Stimulate critical debates amongst global and national experts and cross sectoral stakeholders on the wide spectrum of issues associated with the just energy transition; Promote the creation of different narratives and discourses on the just energy transition in South Africa, drawing on experience from other countries in the Global South and Global North; Function as a learning exchange platform for leaders on the just transition process; and Present policy, strategic, and recommendations for possible implementation.
South and Global North;",0,6,"The JET Platform will provide a space for cross sectoral, transdisciplinary, and diversified discussion to unlock and build thought leadership around the just energy transition implementation processes. The JET Platform will have the overall purpose to bring together minds to bridge the gap between the stated national vision of the just transition in South Africa, and its institutionalised manifestation on the ground. To inform and design just transition implementation, the Platform will: 
•	Promote policy oriented research; 
•	Stimulate critical debates amongst global and national experts and cross sectoral stakeholders on the wide spectrum of issues associated with the just energy transition; 
•	Promote the creation of different narratives and discourses on the just energy transition in South Africa, drawing on experience from other countries in the Global South and Global North;
•	Function as a learning exchange platform for leaders on the just transition process; and
•	Present policy, strategic, and recommendations for possible implementation.
",UNDP LVGA,,Non-VF,,Accelerating just energy transition,Renewable Energy,,,missing-ZAF-1-1,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Energy Transition,Policy or Regulatory Framework
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000,Update one gender-responsive roadmap document on skills development and human resource needs for a Just Inclusive Energy Transition (JET) in South Africa.,Transition Missing,Number of gender-responsive roadmap documents on skills development and human resource needs for a JET updated,0,1,1,Japan,,Non-VF,,Accelerating just energy transition,Renewable Energy,,,missing-ZAF-2-1,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Energy Transition,Policy or Regulatory Framework
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000,"Train 75 youths, with a gender breakdown of 36 females and 39 males, in a vocational training and work placement program focused on clean energy.",Other,Number of youths trained through a vocational training and work placement programme on clean energy (disaggregated by gender),24,75,75 (36 female / 39 male),,0.48,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-2,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Other,Capacity Building Training
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000,"Train 25 trainers (10 female, 15 male) through a pilot ToT program to accelerate a just energy transition in South Africa.",Other,Number of trainers trained through a pilot ToT programme (disaggregated by gender),0,25,25 (10 female / 15 male),,0.4,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-3,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Other,Capacity Building Training
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000,Produce 2 documents on lessons learned and recommendations as part of the Just Inclusive Energy Transition project in South Africa.,Other,Number of documents on lessons learned and recommendations produced,1,2,2,,,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-4,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Other,nan
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000,"Support 10 entrepreneurs, SMMEs, and innovators through an open national innovation challenge on clean energy solutions, with a target of 6 female and 4 male participants.",Other,"Number of entrepreneurs, SMMEs and innovators supported through an open national innovation challenge on clean energy solutions (disaggregated by gender)",2,10,10 (6 female / 4 male),,0.6,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-5,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Other,Small Enterprises
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000,"Provide access to clean energy for 275.52 households through a small-scale solar energy demonstration project, benefiting 82 individuals (45 female / 37 male) in South Africa.",Clean Electricity,Number of households who gained access to clean energy through the small-scale solar energy demonstration project (disaggregated by head of household) ,57 HH,275.52,82 (45 female / 37 male),,0.535714286,Non-VF,,Accelerating just energy transition,,,Solar,missing-ZAF-2-6,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,1,275.52,Energy Access,Electricity Access
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000,"Train 50 community members (20 female, 30 male), including local government officials, on the use and maintenance of solar energy in South Africa.",Other,"Number of community members, including local government officials trained on the use and maintenance of solar energy",0,50,50 (20 female / 30 male),,0.4,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-7,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Other,Capacity Building Training
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000,"Train 8 public and private sector and women-led energy civil society organizations (CSOs) on energy transition, with a focus on amplifying the voice of women in the Just Inclusive Energy Transition (JET) discourse.",Other,"Number of public and private sector and women-led energy civil society organizations (CSOs) trained on energy transition (disaggregated by gender), inclusive of amplifying the voice of women in the JET discourse",0,8,8 (5 female / 3 male),,1,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-8,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Other,nan
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000,"25 public and private sector and civil society stakeholders, disaggregated by gender (15 female / 10 male), participated in a learning exchange on energy transition.",Other,Number of public and private sector and civil society stakeholders participated in learning exchange on energy transition (disaggregated by gender),0,25,25 (15 female / 10 male),,0.6,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-9,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Other,Capacity Building Training
missing-ZAF-2,Just Inclusive Energy Transition ,,1000000,"Finalize one roadmap towards clean energy production, storage, and use.",Other,"Number of roadmaps towards clean energy production, storage, and use finalised",0,1,1,,,Non-VF,,Accelerating just energy transition,,,,missing-ZAF-2-10,ZAF,,South Africa,710,Africa,Sub-Saharan Africa,,yes,,African Group,RBA,Upper middle income,,,,High,0,0,Other,nan
5669,IMPRESS,https://co.pims.undp.org/project/view?id=5669,6075828,Increase cumulative electricity generation using renewable energy resources from 82 MW to 132 MW in Samoa.,Some Sources,"Cumulative electricity generation using RE resources, MW",82 target,132 target,"Source of Verification: 
Project activity report 
Project M&E reports
EPC annual report
Samoa Energy Review Reports",GEF,0.5,VF,,Close the gap on energy access,,,Some Sources,5669.0-1,WSM,,Samoa,882,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,RBAP,Lower middle income,,SIDS,,High,17500,0,Energy Transition,Energy (MW added)
5669,IMPRESS,https://co.pims.undp.org/project/view?id=5669,6075828,"Benefit 108,504 households with renewable energy-based electricity generation and energy efficiency technology applications.",Clean Electricity,Cumulative number of households benefitting from RE-based electricity generation and EE technology applications.,0,108504,"Source of Verification: 
Project activity report 
Project M&E reports
EPC annual report
Samoa Energy Review Reports",GEF,0.5,VF,,Close the gap on energy access,,,Some Sources,5669.0-2,WSM,,Samoa,882,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,RBAP,Lower middle income,,SIDS,,High,1,108504,Energy Access,Electricity Access
5669,IMPRESS,https://co.pims.undp.org/project/view?id=5669,6075828,"Train 20 local authorities in Samoa to develop, plan, and implement renewable energy, energy efficiency, and sustainable energy projects.",Other,"Number of trained local authorities, (i.e., local government officials) that are capable of developing, planning and implementing RE, DSM/EE and PURE/SURE projects.",,20,"Source of verification: 
Awareness survey report
Training evaluation reports
Project M&E report",GEF,0.3,VF,,Close the gap on energy access,,,,5669.0-3,WSM,,Samoa,882,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,RBAP,Lower middle income,,SIDS,,High,0,0,Other,Capacity Building Training
5669,IMPRESS,https://co.pims.undp.org/project/view?id=5669,6075828,Develop and enforce four policies that support and incentivize investments in renewable energy development and utilization in Samoa.,Transition Missing,Number of approved and enforced policies that support and incentivize investments in RE development and utilization,0,1,,GEF,,VF,,Close the gap on energy access,,,,5669.0-4,WSM,,Samoa,882,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,RBAP,Lower middle income,,SIDS,,High,0,0,Energy Transition,Policy or Regulatory Framework
5669,IMPRESS,https://co.pims.undp.org/project/view?id=5669,6075828,Enforce 3 regulations that support energy efficiency implementation in Samoa under the Energy Bill.,Transition Missing,Number of approved and enforced regulations that support EE implementation in Samoa under the Energy Bill,0,3,"Source of Verification: 
Project activity report 
Project M&E reports
EPC annual report
Samoa Energy Review Reports
Updated data directly on website",GEF,,VF,,Close the gap on energy access,,,,5669.0-5,WSM,,Samoa,882,Oceania,Polynesia,Pacific,yes,yes,Asia-Pacific Group,RBAP,Lower middle income,,SIDS,,High,0,0,Energy Transition,Policy or Regulatory Framework
