,Region,Category,Subcategory,VF or Non-VF,Direct Beneficiaries,Energy Access,Productive Use,Budget Sum (M USD),Project Count,Country Count
138,RBLAC,Economy,Low income,Total,0.0,0.0,0.0,1400000000.0,1,1
139,RBLAC,Economy,Lower middle income,Total,135400.0,44000.0,91400.0,12026469.0,6,4
140,RBLAC,HDI,Very High,Total,1028745.0,28615.0,1000130.0,34694662.0,11,5
141,RBLAC,HDI,High,Total,551823.15,252132.55,299690.6,56874633.53,26,12
142,RBLAC,HDI,Medium,Total,54381.25,1481.25,52900.0,1408650873.91,9,6
143,RBLAC,HDI,Low,Total,84000.0,44000.0,40000.0,8789921.0,2,1
144,RBLAC,Beneficiary Tier,Access to Energy,Total,326228.8,326228.8,0.0,1457065044.0,21,16
145,RBLAC,Beneficiary Tier,Productive Use of Energy,Total,1392720.6,0.0,1392720.6,52114778.44,22,14
146,RBLAC,Beneficiary Tier,Market Development,Total,0.0,0.0,0.0,20969834.0,2,2
147,RBLAC,Beneficiary Tier,Capacity Building,Total,0.0,0.0,0.0,23585274.0,2,2
148,RBLAC,Beneficiary Tier,Policy and Regulator Frameworks,Total,0.0,0.0,0.0,38377363.44,17,12
149,RBLAC,Beneficiary Tier,Other,Total,0.0,0.0,0.0,500000.0,1,1
150,RBLAC,Beneficiary Category,Policy or Regulatory Framework,Total,0.0,0.0,0.0,38377363.44,17,12
151,RBLAC,Beneficiary Category,Energy (MW added),Total,128135.0,128135.0,0.0,1432704053.0,9,9
152,RBLAC,Beneficiary Category,Clean Cooking,Total,89515.0,89515.0,0.0,4471092.0,3,3
153,RBLAC,Beneficiary Category,Water Services,Total,45441.6,0.0,45441.6,25162430.0,4,3
154,RBLAC,Beneficiary Category,Capacity Building Training,Total,0.0,0.0,0.0,45798984.44,14,10
155,RBLAC,Beneficiary Category,Transportation and E-mobility Services,Total,1195479.0,0.0,1195479.0,13945937.44,9,7
156,RBLAC,Beneficiary Category,GHG Emissions Reduction,Total,0.0,0.0,0.0,20750901.91,8,6
157,RBLAC,Beneficiary Category,Market Intervention,Total,0.0,0.0,0.0,1949271.53,2,2
158,RBLAC,Beneficiary Category,Electricity Access,Total,108578.8,108578.8,0.0,45208742.0,12,8
159,RBLAC,Beneficiary Category,nan,Total,0.0,0.0,0.0,9331609.0,4,4
160,RBLAC,Beneficiary Category,Energy Efficiency Services,Total,0.0,0.0,0.0,10112903.0,5,4
161,RBLAC,Beneficiary Category,Energy Infrastructure Services,Total,56.0,0.0,56.0,9217.0,1,1
162,RBLAC,Beneficiary Category,Medium Enterprises,Total,0.0,0.0,0.0,20919834.0,1,1
163,RBLAC,Beneficiary Category,Entrepreneurship Training,Total,0.0,0.0,0.0,20919834.0,1,1
164,RBLAC,Beneficiary Category,Financing support,Total,0.0,0.0,0.0,1720933.0,1,1
165,RBLAC,Beneficiary Category,Agriculture and Food System,Total,101714.0,0.0,101714.0,1294000.0,5,3
166,RBLAC,Beneficiary Category,Other Energy Services,Total,50030.0,0.0,50030.0,11803194.0,5,3
167,RBLAC,Beneficiary Category,Small Enterprises,Total,0.0,0.0,0.0,50000.0,1,1
168,RBLAC,Beneficiary Category,Other,Total,0.0,0.0,0.0,500000.0,1,1
169,RBLAC,Beneficiary Category,Campaign Participant,Total,0.0,0.0,0.0,2665440.0,1,1
170,RBLAC,All,All,VF,348881.25,126931.25,221950.0,38791351.0,13,11
171,RBLAC,Economy,Upper middle income,VF,270376.25,98556.25,171820.0,27877642.0,8,7
172,RBLAC,Economy,High income,VF,28505.0,28375.0,130.0,8493161.0,4,3
173,RBLAC,Economy,Lower middle income,VF,50000.0,0.0,50000.0,2420548.0,1,1
174,RBLAC,HDI,High,VF,298270.0,126450.0,171820.0,19103508.0,7,6
175,RBLAC,HDI,Medium,VF,50281.25,281.25,50000.0,2470548.0,2,2
176,RBLAC,HDI,Very High,VF,330.0,200.0,130.0,17217295.0,4,3
177,RBLAC,Beneficiary Tier,Access to Energy,VF,126931.25,126931.25,0.0,7942394.0,6,6
178,RBLAC,Beneficiary Tier,Productive Use of Energy,VF,221950.0,0.0,221950.0,9670337.0,5,5
179,RBLAC,Beneficiary Tier,Market Development,VF,0.0,0.0,0.0,0.0,0,0
180,RBLAC,Beneficiary Tier,Capacity Building,VF,0.0,0.0,0.0,0.0,0,0
181,RBLAC,Beneficiary Tier,Policy and Regulator Frameworks,VF,0.0,0.0,0.0,21205679.0,5,5
182,RBLAC,Beneficiary Tier,Other,VF,0.0,0.0,0.0,0.0,0,0
183,RBLAC,Beneficiary Category,Transportation and E-mobility Services,VF,171950.0,0.0,171950.0,7249789.0,4,4
184,RBLAC,Beneficiary Category,Energy (MW added),VF,28350.0,28350.0,0.0,3378698.0,2,2
185,RBLAC,Beneficiary Category,GHG Emissions Reduction,VF,0.0,0.0,0.0,12036885.0,5,5
186,RBLAC,Beneficiary Category,Market Intervention,VF,0.0,0.0,0.0,1784862.0,1,1
187,RBLAC,Beneficiary Category,Capacity Building Training,VF,0.0,0.0,0.0,10951638.0,4,4
188,RBLAC,Beneficiary Category,Electricity Access,VF,10481.25,10481.25,0.0,1826172.0,3,3
189,RBLAC,Beneficiary Category,nan,VF,0.0,0.0,0.0,9327982.0,3,3
190,RBLAC,Beneficiary Category,Energy Efficiency Services,VF,0.0,0.0,0.0,9293873.0,3,3
191,RBLAC,Beneficiary Category,Financing support,VF,0.0,0.0,0.0,1720933.0,1,1
192,RBLAC,Beneficiary Category,Policy or Regulatory Framework,VF,0.0,0.0,0.0,21205679.0,5,5
193,RBLAC,Beneficiary Category,Other Energy Services,VF,50000.0,0.0,50000.0,2420548.0,1,1
194,RBLAC,Beneficiary Category,Clean Cooking,VF,88100.0,88100.0,0.0,2737524.0,1,1
195,RBLAC,All,All,Non-VF,1370068.1500000001,199297.55,1170770.6,1470054329.91,34,18
196,RBLAC,Economy,High income,Non-VF,1024390.0,24390.0,1000000.0,8144721.0,4,3
197,RBLAC,Economy,Upper middle income,Non-VF,260278.15,130907.55,129370.6,52303687.91,24,11
198,RBLAC,Economy,Low income,Non-VF,0.0,0.0,0.0,1400000000.0,1,1
199,RBLAC,Economy,Lower middle income,Non-VF,85400.0,44000.0,41400.0,9605921.0,5,3
200,RBLAC,HDI,Very High,Non-VF,1028415.0,28415.0,1000000.0,17477367.0,7,4
201,RBLAC,HDI,High,Non-VF,253553.15,125682.55,127870.6,37606716.0,18,8
202,RBLAC,HDI,Medium,Non-VF,4100.0,1200.0,2900.0,1406180325.91,7,5
203,RBLAC,HDI,Low,Non-VF,84000.0,44000.0,40000.0,8789921.0,2,1
204,RBLAC,Beneficiary Tier,Access to Energy,Non-VF,199297.55,199297.55,0.0,1449122650.0,15,13
205,RBLAC,Beneficiary Tier,Productive Use of Energy,Non-VF,1170770.6,0.0,1170770.6,42280031.91,16,10
206,RBLAC,Beneficiary Tier,Market Development,Non-VF,0.0,0.0,0.0,20969834.0,2,2
207,RBLAC,Beneficiary Tier,Capacity Building,Non-VF,0.0,0.0,0.0,23585274.0,2,2
208,RBLAC,Beneficiary Tier,Policy and Regulator Frameworks,Non-VF,0.0,0.0,0.0,17007274.91,11,9
209,RBLAC,Beneficiary Tier,Other,Non-VF,0.0,0.0,0.0,500000.0,1,1
210,RBLAC,Beneficiary Category,Policy or Regulatory Framework,Non-VF,0.0,0.0,0.0,17007274.91,11,9
211,RBLAC,Beneficiary Category,Energy (MW added),Non-VF,99785.0,99785.0,0.0,1429325355.0,7,7
212,RBLAC,Beneficiary Category,Clean Cooking,Non-VF,1415.0,1415.0,0.0,1733568.0,2,2
213,RBLAC,Beneficiary Category,Water Services,Non-VF,45441.6,0.0,45441.6,25162430.0,4,3
214,RBLAC,Beneficiary Category,Capacity Building Training,Non-VF,0.0,0.0,0.0,34682936.91,9,7
215,RBLAC,Beneficiary Category,Transportation and E-mobility Services,Non-VF,1023529.0,0.0,1023529.0,6531738.91,4,4
216,RBLAC,Beneficiary Category,GHG Emissions Reduction,Non-VF,0.0,0.0,0.0,8714016.91,3,3
217,RBLAC,Beneficiary Category,Electricity Access,Non-VF,98097.55,98097.55,0.0,43382570.0,9,7
218,RBLAC,Beneficiary Category,Energy Efficiency Services,Non-VF,0.0,0.0,0.0,819030.0,2,2
219,RBLAC,Beneficiary Category,Energy Infrastructure Services,Non-VF,56.0,0.0,56.0,9217.0,1,1
220,RBLAC,Beneficiary Category,nan,Non-VF,0.0,0.0,0.0,3627.0,1,1
221,RBLAC,Beneficiary Category,Medium Enterprises,Non-VF,0.0,0.0,0.0,20919834.0,1,1
222,RBLAC,Beneficiary Category,Entrepreneurship Training,Non-VF,0.0,0.0,0.0,20919834.0,1,1
223,RBLAC,Beneficiary Category,Agriculture and Food System,Non-VF,101714.0,0.0,101714.0,1294000.0,5,3
224,RBLAC,Beneficiary Category,Other Energy Services,Non-VF,30.0,0.0,30.0,9382646.0,4,2
225,RBLAC,Beneficiary Category,Small Enterprises,Non-VF,0.0,0.0,0.0,50000.0,1,1
226,RBLAC,Beneficiary Category,Other,Non-VF,0.0,0.0,0.0,500000.0,1,1
227,RBLAC,Beneficiary Category,Campaign Participant,Non-VF,0.0,0.0,0.0,2665440.0,1,1
228,RBA,All,All,Total,37084810.47,22405668.47,14679142.0,1428571109.812919,130,43
229,RBA,Economy,Low income,Total,32597791.25,19610554.25,12987237.0,814171657.6899999,65,22
230,RBA,Economy,Upper middle income,Total,1134949.52,938387.52,196562.0,84034611.0,14,5
231,RBA,Economy,Lower middle income,Total,3352069.7,1856726.7,1495343.0,530364841.12291884,51,16
232,RBA,HDI,Low,Total,32140764.95,19812684.950000003,12328080.0,846840941.962919,82,26
233,RBA,HDI,Medium,Total,4059118.0,1729056.0,2330062.0,533559813.85,41,15
234,RBA,HDI,High,Total,106005.52,106005.52,0.0,9827583.0,4,1
235,RBA,HDI,Very High,Total,778922.0,757922.0,21000.0,38342771.0,3,1
236,RBA,Beneficiary Tier,Access to Energy,Total,22405668.47,22405668.47,0.0,1280098315.3400002,82,39
237,RBA,Beneficiary Tier,Productive Use of Energy,Total,14679142.0,0.0,14679142.0,764896833.6829189,47,27
238,RBA,Beneficiary Tier,Market Development,Total,0.0,0.0,0.0,94474278.0,12,11
239,RBA,Beneficiary Tier,Capacity Building,Total,0.0,0.0,0.0,29384120.0,9,7
240,RBA,Beneficiary Tier,Policy and Regulator Frameworks,Total,0.0,0.0,0.0,212850194.0,29,19
241,RBA,Beneficiary Tier,Other,Total,0.0,0.0,0.0,4008600.0,4,2
242,RBA,Beneficiary Category,Electricity Access,Total,18361499.02,18361499.02,0.0,1166764517.35,59,35
243,RBA,Beneficiary Category,nan,Total,0.0,0.0,0.0,398434009.0,21,17
244,RBA,Beneficiary Category,Medium Enterprises,Total,0.0,0.0,0.0,8249716.0,3,3
245,RBA,Beneficiary Category,Agriculture and Food System,Total,21536.0,0.0,21536.0,30848928.71,8,7
246,RBA,Beneficiary Category,GHG Emissions Reduction,Total,0.0,0.0,0.0,145684703.0,11,9
247,RBA,Beneficiary Category,Energy (MW added),Total,1755087.25,1755087.25,0.0,131514306.99000001,31,23
248,RBA,Beneficiary Category,Health Services,Total,9075621.0,0.0,9075621.0,697570460.3141885,19,17
249,RBA,Beneficiary Category,Education Services,Total,158128.0,0.0,158128.0,639451674.078534,12,11
250,RBA,Beneficiary Category,Policy or Regulatory Framework,Total,0.0,0.0,0.0,212850194.0,29,19
251,RBA,Beneficiary Category,Energy Efficiency Services,Total,0.0,0.0,0.0,81976427.0,5,5
252,RBA,Beneficiary Category,Capacity Building Training,Total,0.0,0.0,0.0,468329319.0,20,13
253,RBA,Beneficiary Category,Small Enterprises,Total,0.0,0.0,0.0,90756726.0,10,10
254,RBA,Beneficiary Category,Water Services,Total,5044102.0,0.0,5044102.0,647221446.8534031,6,5
255,RBA,Beneficiary Category,Energy Infrastructure Services,Total,173964.0,0.0,173964.0,4146506.614751309,10,4
256,RBA,Beneficiary Category,Clean Cooking,Total,2289082.2,2289082.2,0.0,76916023.0,17,14
257,RBA,Beneficiary Category,Other,Total,0.0,0.0,0.0,4008600.0,4,2
258,RBA,Beneficiary Category,Market Intervention,Total,0.0,0.0,0.0,73137680.0,1,1
259,RBA,Beneficiary Category,Financing support,Total,0.0,0.0,0.0,99999.0,2,2
260,RBA,Beneficiary Category,Entrepreneurship Training,Total,0.0,0.0,0.0,10663814.0,5,4
261,RBA,Beneficiary Category,Other Energy Services,Total,184710.0,0.0,184710.0,11085854.05,6,5
262,RBA,Beneficiary Category,Campaign Participant,Total,0.0,0.0,0.0,18720306.0,4,3
263,RBA,Beneficiary Category,Other energy services,Total,0.0,0.0,0.0,285715.35,1,1
264,RBA,Beneficiary Category,Transportation and E-mobility Services,Total,21081.0,0.0,21081.0,5869929.85,3,3
265,RBA,Beneficiary Category,Energy infrastructure services,Total,0.0,0.0,0.0,116275.0,1,1
266,RBA,Beneficiary Category,Energy Storage (MW),Total,0.0,0.0,0.0,28210000.0,1,1
267,RBA,Beneficiary Category,Energy Access - disaster affected communities -,Total,0.0,0.0,0.0,-1.0,1,1
268,RBA,Beneficiary Category,Energy Access,Total,0.0,0.0,0.0,-1.0,1,1
269,RBA,Beneficiary Category,"Artisanal Palm Oil Producers
General Public
Electric Vehicle Businesses",Total,0.0,0.0,0.0,500000.0,1,1
270,RBA,All,All,VF,4987353.0,4738813.0,248540.0,204244029.0,34,21
271,RBA,Economy,Low income,VF,4125927.5,4088478.5000000005,37449.0,103014360.0,15,11
272,RBA,Economy,Upper middle income,VF,338792.0,163230.0,175562.0,40849518.0,6,4
273,RBA,Economy,Lower middle income,VF,522633.5,487104.5,35529.0,60380151.0,13,6
274,RBA,HDI,Medium,VF,625254.5,409227.5,216027.0,79440617.0,14,9
275,RBA,HDI,Low,VF,4256368.5,4223855.5,32513.0,116249162.0,18,11
276,RBA,HDI,High,VF,105730.0,105730.0,0.0,8554250.0,2,1
277,RBA,Beneficiary Tier,Access to Energy,VF,4738813.0,4738813.0,0.0,147464344.0,29,20
278,RBA,Beneficiary Tier,Productive Use of Energy,VF,248540.0,0.0,248540.0,48533654.0,5,5
279,RBA,Beneficiary Tier,Market Development,VF,0.0,0.0,0.0,74962246.0,3,3
280,RBA,Beneficiary Tier,Capacity Building,VF,0.0,0.0,0.0,-1.0,1,1
