,Project ID,Title,Link,Budget,Beneficiary Category,Indicator,Baseline,Target,Notes,Donors,Gender (% female),Category,Comments,Tag,SEH Taxonomy,RISE Taxonomy,Flagship,Indirect Category,Indirect Taxonomy,Output ID,Country Code,Country,Comment,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Comments ,Expected Outputs,Energy Percent,Donors ,Indirect Beneficiaries,Budget (USD),Unnamed: 13,Donor,Indirect Beneficaries,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 10,Gender (% female).1,Category.1,Comments.1,Unnamed: 8,Unnamed: 9,Indirect Beneficiries,Energy Budget,Budget (Nigerian),Indirect Beneficiary,Budget ,b,Unnamed: 11
10,6613,Africa Mini-grids Program,PIMS+,1363947.0,GHG Emissions Reduction, Greenhouse gas emissions mitigated (tCO­2­ lifetime reduction,0.0,Direct lifetime emission reduction (ER) of 13.78 ktCO2; Indirect ER = 643.33 MtCO2.,,,,,,,Accelerating just energy transition,Clean Cooking,,,,6613-2,ZMB,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6613,Africa Mini-grids Program,PIMS+,1363947.0,Energy (MW added),Increase in installed solar PV capacity and battery storage  [kW -solar – MWh battery],0.0,"Minigrid pilots, installed solar capacity of 450 kW with 1.091 MWh of storage capacity",,,,,,,Accelerating just energy transition,Electricity Access,,,,6613-3,ZMB,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,missing-ZMB-1,Solar For health,,,nan,Number of health facilities that have access to unintrupted power supply and delivering quality health services,50.0,1002,The project is under development and would be finance GCF and start implementation in 2024 Q2. The project would provide unintrupted power supply to 1002 health facilitied and 9 Megawats ,,,,,,Accelerating just energy transition,Clean Cooking,,,,missing-ZMB-1-1,ZMB,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,missing-ZMB-1,Solar For health,,,Health Services,Number of people have access to modern electricity service,,810000,"Number of benificiaries is estimated 810,000",,,,,,Accelerating just energy transition,Electricity Access,,,,missing-ZMB-1-2,ZMB,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,missing-ZMB-2,Greening UNDP Office,,222653.39,Energy (MW added),Greenhouse gas emissions mitigated and costs for electricity reduced.,0.0,"28.12 tCO2 reduction annually, with annual monetary savings of USD 4100","This is a joint project to install a 150 kWp solar PV system producing 264,123kWh annually by the UN Common premises in Zambia.","UNDP, UNICEF, UNFPA, UNCDF, RCO, UNDSS, UNCTAD, DCO.",,,,,Accelerating just energy transition,Clean Cooking,,,,missing-ZMB-2-1,ZMB,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,126170.0,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Energy (MW added),Cumulative Installed capacity of clean energy mini-grids (MW) in project area,0.385,2.025,3 minigrids; 385kW  (2019),UNDP,,Non-VF,,,Close the gap on energy access,Renewable Energy,,,,126170.0-1,MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,126170.0,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Electricity Access,Number of Households connected to the mini grids in the project areas,1250 HH,2200 HH,2200 Housoldes in three different project sites. 4.5 as average of people per Houselds,,,,,,Accelerating just energy transition,Electricity Access,,,,126170.0-2,MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,126170.0,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Electricity Access,Number of Productive Users connected to the mini-grids in the project areas,0,15,"Productive Users may include health care, agricultural mechanization, educational and business/industrial activities. Productive use  of energy are income generating activities that are directly positively affected by the use of electric energy from the mini grid. ",,,,,,Accelerating just energy transition,Electricity Access,,,,126170.0-3,MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,126170.0,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Education Services,Number of beneficiaries per school,,10000, 5 Schools with an estimated number of 2000 benificiaries per school.,,,,,,,,,,,126170.0-4,MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,126170.0,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Health Services,,,210000,6 Health centres benefiting an estimate of 35000 individuals per centre.,,,,,h,,,,,,126170.0-5,MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,126170.0,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Policy or Regulatory Framework,,,,"National Energy Policy Revision, Malawi Renewable Energy Strategy, Mini Grid Regulatory Framework.  Support Malawi Bureau of Standarsd with Renewable energy testing equipment. ",,,,,,Close the gap on energy access,Electricity Access,,National Strategy,Electricity Access,126170.0-6,MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6512.0,GEF Africa Minigrids Program,PIMS+,396125.0,GHG Emission Reduction,Greenhouse gas emissions mitigated GtCO2,0,1.068,1068 metric tons of carbon dioxide equivalent (Units of measure: metric tons of CO2e),GEF,,VF,,,,,,,,6512.0-1,MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6512.0,GEF Africa Minigrids Program,PIMS+,396125.0,Electricity Access,Number of direct beneficiaries disaggregated by gender (and customer segment) as co-benefit of GEF investment ,0,763,,,0.51,,,,Accelerating just energy transition,Electricity Access,AMP,,,6512.0-2,MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6512.0,GEF Africa Minigrids Program,PIMS+,396125.0,Entrepreneurship Training,"Number of direct primary jobs created in the minigrid sector, disaggregated by gender, for minigrid development, operation and productive use",0,10,,,0.5,,,,,,,,,6512.0-3,MWI,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5728,LED and high efficiency transformers in SA,PIMS+,5000000.0,Policy or Regulatory Framework,See Expected Outputs; for the Leapfrog Project the expected outputsalso include the indicators.,,7600000, Project at inception phase. Please note project was delayed by two years so years are outdated.,"Department of Energy, South Africa",,,,,Accelerating just energy transition,Energy Efficiency,,,,5728-1,ZAF,South Africa,,,,,,"Projects need quantitative targets for each of the beneficiary categories, with indicators, baseline, and Notes with justification","Project Objective: Accelerating South Africa’s efforts to transition the economy to energy-efficient products, by a) developing South Africa’s market for LEDs on the electricity demand-side, and b) developing South Africa’s market for high-efficiency distribution transformers on the electricity supply-side, resulting in climate change mitigation, stable power supply and therefore economic development and improved energy access. ",,,,,,,,,,,,,,,,,,,,,,,,,
25,5728,LED and high efficiency transformers in SA,PIMS+,5000000.0,GHG Emissions Reduction,Cumulative savings of ktCO2,63.4 ktCO2 of GHG emissions due to lighting is projected to decline to 44.9 ktCO2 at EoP under business as usual and to 43.4 ktCO2 in 2030. Emissions due to transformer losses in will increase to 19.8ktCO2 at EoP (2023) and 23.1 ktCO2 in 2030 ,21.1,,UNDP	,,,,,Accelerating just energy transition,Energy Efficiency,,,,5728-2,ZAF,South Africa,,,,,,,P.O. 2.1: Reduction in GHG emission from electricity consumption by LEDs and high-efficiency transformers,,,,,,,,,,,,,,,,,,,,,,,,,
26,5728,LED and high efficiency transformers in SA,PIMS+,5000000.0,Energy Efficiency,Number of households,500000 HH,,As above. Surveys will include numberand gender of members of the household.,DBSA,,,,,Accelerating just energy transition,Energy Efficiency,,,,5728-3,ZAF,South Africa,,,,,,,P.O. 3.1: Number of households that have LED lamps installed (with gender-relevant data),,,,,,,,,,,,,,,,,,,,,,,,,
27,5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250.0,Electricity Access,Beneficiaries,,74230,"1,367 GWh cumulative by end-2018. 74,230 individuals will benefit annually from project-supported new wind-generated lectricity.44Direct greenhouse gas reductions of 70,378 tCO2 cumulative by end-2018 (using a conservative 5% project causality factor). ",Department of Energy. South Africa,,,,,,,,,,5256-1,ZAF,South Africa,,,,,,,"Project Objective: To assist the Government and industry stakeholders overcome strategic barriers to the successful attainment of South Africa’s Integrated Resource Plan target of 3,320 MW of wind powergeneration online by 2018/19.",,,,,,,,,,,,,,,,,,,,,,,,,
28,5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250.0,GHG Emissions Reduction,Cumulative savings of tCO2,,70378,,"Department of Trade, Industry and Competition, South Africa",,,,,,,,,,5256-2,ZAF,South Africa,,,,,,,Output 1: Monitoring and verification of the implementation of local content requirements for wind energy procurement mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,
29,5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250.0,Policy or Regulatory Framework,"1.1 Enhanced, technology-enabled capability among Government and industry stakeholders to monitor and verify implementation of local content requirements",GIZ-supported reporting system in place  at DoE IPP Unit. Quarterly reports filed by IPPs but no verification. No systematic review and consolidation of lessons learned.,,"M&V system and supporting business processes defined, developed and implemented at the DoE (IPP 
Unit) by end-2015.","Department of Science and Innovation, South Africa",,,,,,,,,,5256-3,ZAF,South Africa,,,,,,,"Mechanisms in place for objective, evidence-based assessment and verification of progress in implementing localisation initiatives, taking into account any correlations between local content requirements, investment metrics (e.g. generation capacity, financial returns, costs, prices, etc) and socio-economic development (e.g. employment creation).",,,,,,,,,,,,,,,,,,,,,,,,,
30,5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250.0,nan,1.2 Enhanced capacity among Government wind industry stakeholders to objectively monitor and verify factors related to the success or failure of project sponsors to meet local content requirements and socio-economic development commitments,"Implementation of a Climate Change Mitigation M&E system by DEA, expected to become operation mid-July 2015",,Twelve quarterly reports on localisation and socio-economic development (SED) published and 6 workshops convened by 2018,"Department of Higher Education and Training, South Africa",,,,,,,,,,5256-4,ZAF,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250.0,nan,,"REDZs in WASA I sites defined, on the basis of  WASA I data",,"REDZs in WASA II sites defined, on the basis of WASA  II data.",,,,,,,,,,,5256-5,ZAF,South Africa,,,,,,,2.3  Enhanced capacity within Government48 to use wind atlas data for energy planning at policy and  strategic levels.,,,,,,,,,,,,,,,,,,,,,,,,,
32,5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250.0,Energy (MW added),MW,No small-scale wind farms installed.,1.8,1.8 MW small-scale wind farm demonstration project –developed.,,,,,,,,,,,5256-6,ZAF,South Africa,,,,,,,3.1 Establishment of small-scale wind demonstration project,,,,,,,,,,,,,,,,,,,,,,,,,
33,5256,South Africa Wind Energy Project (Phase II),PIMS+,3554250.0,Policy or Regulatory Framework,,"2 GIZ support for SALGA and AMEU50 towards integration of small-scale solar PV in municipal distribution systems, as well as DTI’s study on small-scale RE.",,Publicly available Monitoring and Evaluation (M&E) Report on demonstration small-scale wind farm project,,,,,,,,,,,5256-7,ZAF,South Africa,,,,,,,3.2 Enhanced capacity of project sponsors to develop small-scale wind-energy projects.,,,,,,,,,,,,,,,,,,,,,,,,,
34,missing-ZAF-1,Just Energy Transition Platform,,273333.0,Policy or Regulatory Framework,Number of research papers developed relating to the just energy transition,0,6,"The JET Platform will provide a space for cross sectoral, transdisciplinary, and diversified discussion to unlock and build thought leadership around the just energy transition implementation processes. The JET Platform will have the overall purpose to bring together minds to bridge the gap between the stated national vision of the just transition in South Africa, and its institutionalised manifestation on the ground. To inform and design just transition implementation, the Platform will: 
•	Promote policy oriented research; 
•	Stimulate critical debates amongst global and national experts and cross sectoral stakeholders on the wide spectrum of issues associated with the just energy transition; 
•	Promote the creation of different narratives and discourses on the just energy transition in South Africa, drawing on experience from other countries in the Global South and Global North;
•	Function as a learning exchange platform for leaders on the just transition process; and
•	Present policy, strategic, and recommendations for possible implementation.
",UNDP LVGA,,,,,,,,,,missing-ZAF-1-1,ZAF,South Africa,,,,,,,1.1 Promote policy oriented research,,,,,,,,,,,,,,,,,,,,,,,,,
35,missing-ZAF-1,Just Energy Transition Platform,,273333.0,nan,Number of public events relating to the just energy transition,0,12,,,,,,,,,,,,missing-ZAF-1-2,ZAF,South Africa,,,,,,,1.2 Stimulate critical debates amongst global and national experts and cross sectoral stakeholders on the wide spectrum of issues associated with the just energy transition; ,,,,,,,,,,,,,,,,,,,,,,,,,
36,missing-ZAF-1,Just Energy Transition Platform,,273333.0,Policy or Regulatory Framework,"Number of policy implementations, strategies and recomemndations",0,6,,,,,,,,,,,,missing-ZAF-1-3,ZAF,South Africa,,,,,,,"1.3 Present policy, strategic, and recommendations for possible implementation.",,,,,,,,,,,,,,,,,,,,,,,,,
37,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Policy or Regulatory Framework,Number of gender-responsive roadmap documents on skills development and human resource needs for a JET updated,0,1,1,Japan,,,,,,,,,,missing-ZAF-2-1,ZAF,South Africa,,,,,,,1.1 A roadmap document on skills development and human resource needs for a just energy transition (JET) updated,,,,,,,,,,,,,,,,,,,,,,,,,
38,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Policy or Regulatory Framework,Number of vocational training and work placement programmes on clean energy developed,1,2,2,,,,,,,,,,,missing-ZAF-2-2,ZAF,South Africa,,,,,,,1.2.1 A vocational training and work placement programme on clean energy linked to existing government capacity building initiatives  ,,,,,,,,,,,,,,,,,,,,,,,,,
39,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Capacity Training,Number of youths trained through a vocational training and work placement programme on clean energy (disaggregated by gender),24,75,75 (36 female / 39 male),,,,,,,,,,,missing-ZAF-2-3,ZAF,South Africa,,,,,,0.48,1.2.2 Youth trained through a vocational training and work placement programme on clean energy,,,,,,,,,,,,,,,,,,,,,,,,,
40,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Capacity Training,Number of trainers trained through a pilot ToT programme (disaggregated by gender),0,25,25 (10 female / 15 male),,,,,,,,,,,missing-ZAF-2-4,ZAF,South Africa,,,,,,0.4,"1.3 Trainers trained on ammonia, hydrogen, solar and wind technologies through a pilot Training of Trainer (ToT) programme",,,,,,,,,,,,,,,,,,,,,,,,,
41,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Policy or Regulatory Framework,Number of documents on lessons learned and recommendations produced,1,2,2,,,,,,,,,,,missing-ZAF-2-5,ZAF,South Africa,,,,,,,1.4 A document on lessons learned from implementing capacity development initiatives and recommendations produced for the next steps ,,,,,,,,,,,,,,,,,,,,,,,,,
42,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Small Enterprises,"Number of entrepreneurs, SMMEs and innovators supported through an open national innovation challenge on clean energy solutions (disaggregated by gender)",2,10,10 (6 female / 4 male),,,,,,,,,,,missing-ZAF-2-6,ZAF,South Africa,,,,,,0.6,"2.1. Entrepreneurs, SMMEs and innovators supported through an open national innovation challenge on clean energy solutions",,,,,,,,,,,,,,,,,,,,,,,,,
43,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,nan,Number of small-scale solar energy demonstration projects in a selected community fully operational,1,,2 (needs MW added),,,,,,,,,,,missing-ZAF-2-7,ZAF,South Africa,,,,,,,2.2. A small-scale solar energy demonstration project established in a selected community,,,,,,,,,,,,,,,,,,,,,,,,,
44,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Electricity Access,Number of households who gained access to clean energy through the small-scale solar energy demonstration project (disaggregated by head of household) ,57 HH,82 HH,82 (45 female / 37 male),,,,,,,,,,,missing-ZAF-2-8,ZAF,South Africa,,,,,,0.5357142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,
45,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Capacity Training,"Number of community members, including local government officials trained on the use and maintenance of solar energy",0,50,50 (20 female / 30 male),,,,,,,,,,,missing-ZAF-2-9,ZAF,South Africa,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
46,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Other,"Number of public and private sector and women-led energy civil society organizations (CSOs) trained on energy transition (disaggregated by gender), inclusive of amplifying the voice of women in the JET discourse",0,8,8 (5 female / 3 male),,,,,,,,,,,missing-ZAF-2-10,ZAF,South Africa,,,,,,,3.1. Public and private sector and women-led civil society stakeholders completed training and participated in learning exchange on energy transition,,,,,,,,,,,,,,,,,,,,,,,,,
47,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Capacity Training,Number of public and private sector and civil society stakeholders participated in learning exchange on energy transition (disaggregated by gender),0,25,25 (15 female / 10 male),,,,,,,,,,,missing-ZAF-2-11,ZAF,South Africa,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
48,missing-ZAF-2,Just Inclusive Energy Transition ,,1000000.0,Policy or Regulatory Framework,"Number of roadmaps towards clean energy production, storage, and use finalised",0,1,1,,,,,,,,,,,missing-ZAF-2-12,ZAF,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,5669.0,IMPRESS,PIMS+,6075828.0,Energy (MW added),"Cumulative electricity generation using RE resources, MW",82,132,"Source of Verification: 
Project activity report 
Project M&E reports
EPC annual report
Samoa Energy Review Reports",,,VF,,,,,,,,5669.0-1,WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5669.0,IMPRESS,PIMS+,6075828.0,Electricity Access,Cumulative number of households benefitting from RE-based electricity generation and EE technology applications.,0,16440 HH,"Source of Verification: 
Project activity report 
Project M&E reports
EPC annual report
Samoa Energy Review Reports",,,,,,,,,,,5669.0-2,WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5669.0,IMPRESS,PIMS+,6075828.0,Capacity Training,"Number of trained local authorities, (i.e., local government officials) that are capable of developing, planning and implementing RE, DSM/EE and PURE/SURE projects.",,20,"Source of verification: 
Awareness survey report
Training evaluation reports
Project M&E report",,,,,,,,,,,5669.0-3,WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5669.0,IMPRESS,PIMS+,6075828.0,Policy or Regulatory Framework,Number of approved and enforced policies that support and incentivize investments in RE development and utilization,0,1,,,,,,,,,,,,5669.0-4,WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5669.0,IMPRESS,PIMS+,6075828.0,Policy or Regulatory Framework,Number of approved and enforced regulations that support EE implementation in Samoa under the Energy Bill,0,3,"Source of Verification: 
Project activity report 
Project M&E reports
EPC annual report
Samoa Energy Review Reports",,,,,,,,,,,5669.0-5,WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1000418.0,CAP-IT,,15175755.0,Transport Services,Beneficiaries,a) 10 (2021),3000,"Number of electric vehicles procured for public service delivery, disaggregated by type/service:
 a) cars 
b) vans
c) pick-ups
d) buses
e) utility trucks
f) outboard motors. 
603 vehicles, multiplied by 5 to convert to capacity..",,,,,,,,,,,1000418.0-1,WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1000418.0,CAP-IT,,15175755.0,Policy or Regulatory Framework,Number of government ministries involved in training and capacity building interventions for low-carbon energy activites.,,4,,,,,,,,,,,,1000418.0-2,WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1000418.0,CAP-IT,,15175755.0,Policy or Regulatory Framework,Number of articles/ communication items per year that specifically refer to low-carbon energy transition.,,4,"Communication may include not only mass media coverage, but also e-bulletins, mailings, and other direct outreach to recipients.",,,,,,,,,,,1000418.0-3,WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1000418.0,CAP-IT,,15175755.0,Policy or Regulatory Framework,Number of gender-sensitive planning and policy instruments developed to support Samoa's transition to low-carbon transport disaggregated by NDC sub-sector.,2,4,Means of verification:                                                                         - Transport Sector Plan 2013-2018                                                - Samoa NDC Impementation Roadmap and Investment Plan    - Updated legislation and policy framework                                 - Decarbonization Strategy and Sector Plans (Land/Maritime),,,,,,,,,,,1000418.0-4,WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1000418.0,CAP-IT,,15175755.0,Other Energy Services,Direct Project Beneficiaries,0,200000,"Direct project beneficiaries from enhanced policy and regulatory frameworks, awareness and access to information regarding a low-carbon transition in land/maritime transport sectors, improved e-vehicle charging network, inclusice financing mechanisms etc.",,,,,,,,,,,1000418.0-5,WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,6037.0,AREAN,PIMS+,3321563.0,nan,% RE electricity production,0.018,0.73,"Means of verification: 
DoU-MoI
Treasury Department
Project M&E and activity reports
Trade and commerce reports",,,VF,,,,,,,,6037.0-1,WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
