Project ID,Project Title,Country,Country Code,Link,VF or Non-VF,Status of Prodoc,Notes,,,
5392,Sustainable Rural Housing in Uzbekistan,Uzbekistan,UZB,PIMS+,VF,Collected,,,,
5395,Public Sector Buildings EE (PSBEE),China,CHN,PIMS+,VF,Collected,,,,
5462,San Salvador Urban Development,El Salvador,SLV,PIMS+,VF,Collected,,,,
5476,Green Energy SME Development Project,Tajikistan,TJK,https://open.undp.org/projects/00097769,VF,Collected,,,,
5484,Comoros Geothermal,Comoros,COM,PIMS+,VF,Collected,,,,
5490,De-risking Renewable Energy Investment,Kazakhstan,KAZ,PIMS+,VF,Collected,,,,
5543,A systemic approach for GHG emission,Jordan,JOR,PIMS+,VF,Collected,,,,
5574,NAMA Integrated Wastewater Treatment,Uganda,UGA,PIMS+,VF,Collected,,,,
5613,FASNETT,Fiji,FJI,PIMS+,VF,Collected,,,,
5646,Catalyzing Env.Fin. for Low-Carbon Urban Dev,Bosnia and Herzegovina,BIH,PIMS+,VF,Collected,,,,
5653,Cuba Sustainable Transport,Cuba,CUB,PIMS+,VF,Collected,,,,
5669,IMPRESS,Samoa,WSM,PIMS+,VF,Collected,,,,
5673,EE Low Cost Wooden Houses,Turkey,TUR,PIMS+,VF,Collected,,,,
5674,Efficient Appliances UNEP Global PFD,Sudan,SDN,PIMS+,VF,Collected,,,,
5680,Small hydropower based mini-grids,Central African Republic,CAF,PIMS+,VF,Collected,,,,
5702,Forest Landscape Restoration in the Mayaga,Rwanda,RWA,PIMS+,VF,Collected,,,,
5703,UNEP Efficient Appliances Global PFD,Kazakhstan,KAZ,PIMS+,VF,Collected,,,,
5721,ADLIGHT,Indonesia,IDN,PIMS+,VF,Collected,,,,
5728,LED and high efficiency transformers in SA,South Africa,ZAF,PIMS+,VF,Collected,,,,
5740,Assurer un approvisionnement en eau résilient aux changement climatique aux comores ER2C ,Comoros,COM,Pims +,VF,Collected,,,,
5749,The Climate Aggregation Platform for Developing Countries,New York,NA,PIMS+,VF,Collected,,,,
5831,Low Carbon Technologies and Green Development,Guyana,GUY,https://co.pims.undp.org/project/view?id=5831,VF,Collected,,,,
5882,De-Risking and Scaling-up Investment in EE,Bosnia and Herzegovina,BIH,PIMS+,VF,Collected,,,,
5885,Low Carbon project,Guinea-Bissau,GNB,PIMS+,VF,Collected,,,,
5926,BRANTV,Fiji,FJI,PIMS+,VF,Collected,,,,
5989,Sustainable Energy Access,Angola,AGO,PIMS+ ,VF,Collected,,,,
5997,MPSBEE,Fiji,FJI,PIMS+,VF,Collected,,,,
6037,AREAN,Samoa,WSM,PIMS+,VF,Collected,,,,
6089,SPIRES (Rural Electrification),Solomon Islands,SLB,PIMS+,VF,Collected,,,,
6159,POIDIER,Fiji,FJI,PIMS+,VF,Collected,,,,
6163,AIM-WELL: Algeria Integrated Management of Waste Energy at the Local Level,Algeria,DZA,PIMS+,VF,Collected,,,,
6188,SMARTEN,Fiji,FJI,PIMS+,VF,Collected,,,,
6202,Djibouti clean energy rural mini-grids project,Djibouti,DJI,PIMS+,VF,Collected,,,,
6249,Green Sharm El Sheikh,Egypt,EGY,PIMS+,VF,Collected,,,,
6270,GEF 7: Sustainable Cities - Green Economy,Costa Rica,CRI,PIMS+,VF,Collected,,,,
6285,Circular Economy in Serbia,Serbia,SRB,PIMS+,VF,Collected,,,,
6321,Sudan national child project - Africa Minigrids Program (AMP),Sudan,SDN,PIMS+,VF,Collected,,,,
6327,Djibouti national child project - Africa Minigrids Program (AMP),Djibouti,DJI,PIMS+,VF,Collected,,,,
6328,Somalia national child project - Africa Minigrids Program (AMP),Somalia,SOM,PIMS+,VF,Collected,,,,
6333,Electric Vehicles in Indonesia (ENTREV),Indonesia,IDN,PIMS+,VF,Collected,,,,
6384,E-Mobility Strategy Peru,Peru,PER,PIMS+,VF,Collected,,,,
6388,Energy Efficiency in Buildings,Serbia,SRB,PIMS+,VF,Collected,,,,
6403,Electric Mobility Jamaica,Jamaica,JAM,PIMS+,VF,Collected,,,,
6411,Sustainable Cities Impact Program - Morocco,Morocco,MAR,PIMS+,VF,Collected,,,,
6417,TAILEV,Uzbekistan,UZB,PIMS+,VF,Collected,,,,
6431,EZCERTV,China,CHN,PIMS+,VF,Collected,,,,
6432,National project under the AMP,Eswatini,SWZ,PIMS+,VF,Collected,,,,
6451,SMARTER - Bioenergy in Barbados,Barbados,BRB,PIMS+,VF,Collected,,,,
6468,Lebanon Sustainable Low-emission Transport Systems,Lebanon,LBN,"PIMS+
https://www.thegef.org/projects-operations/projects/10358",VF,Collected,,,,
6469,Comoros national child project - Africa Minigrids Program (AMP),Comoros,COM,PIMS+,VF,Collected,,,,
6479,Energy Efficiency in Buildings – EMIS and Green Social Housing,Azerbaijan,AZE,PIMS+,VF,Collected,,,,
6487,Promoting Carbon Reduction Through Energy Efficiency (EE) Techniques in Iraq,Iraq,IRQ,PIMS+,VF,Collected,,,,
6510,National child project under the GEF African Minigrid Program,Burkina Faso,BFA,PIMS+,VF,Collected,,,,
6512,GEF Africa Minigrids Program,Malawi,MWI,PIMS+,VF,Collected,,,,
6542,PASBET,Pakistan,PAK,PIMS+,VF,Collected,,,,
6613,Africa Mini-grids Program,Zambia,ZMB,PIMS+,VF,Collected,,,,
6618,PhosChemEE,China,CHN,PIMS+,VF,Collected,,,,
6657,National child project under the GEF Africa Minigrids Program,Sao Tome & Principe,STP,PIMS+,VF,Collected,,,,
6658,National child project under the GEF Africa Minigrids Program,Benin,BEN,PIMS+,VF,Collected,,,,
6686,Towards Sustainable cities in Tunisia,Tunisia,TUN,https://co.pims.undp.org/project/view?id=6686,VF,Collected,,,,
6702,National child project under the GEF Africa Minigrids Program,Dem. Rep. of the Congo,COD,PIMS+,VF,Collected,,,,
46258,Small Grants Programme,Armenia,ARM,http://open.undp.org/projects/00046258,Non-VF,Collected,,,,
48025,Mainstreaming Green Environmental Development,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00048025,Non-VF,Collected,,,,
79213,Bahrain Unit for Sustainable Energy,Bahrain,BHR,http://open.undp.org/projects/00079213,Non-VF,Collected,,,,
85124,Agrofrutales,Cuba,CUB,https://open.undp.org/projects/00085124,Non-VF,Collected,,,,
85156,"Iraq Crisis Recovery and Resilience Program (ICRRP), Output 3: Resilience Of Vulnerable Communities To Climate Change Enhanced Through Access To Renewable Energy",Iraq,IRQ,https://open.undp.org/projects/00085156,Non-VF,Collected,,,,
85377,Joint Programme on Charcoal,Somalia,SOM,http://open.undp.org/projects/00085377,Non-VF,Collected,,,,
85984,Local Government Initiative on Climate Change (LoGIC),Bangladesh,BGD,https://open.undp.org/projects/00085984,Non-VF,Collected,,,,
89459,Funding Facility for Stabilization,Iraq,IRQ,https://open.undp.org/projects/00089459,Non-VF,Collected,,,,
90074,GCS intervention on environment (Biomass),Sri Lanka,LKA,http://open.undp.org/projects/00090074,Non-VF,Collected,,,,
91204,Apoyo a la Modernización de La Gestión Ambiental,Panama,PAN,https://open.undp.org/projects/00082182,Non-VF,Collected,,,,
92045,Hydrogen Economy Pilot Project,China,CHN,http://open.undp.org/projects/00092045,Non-VF,Collected,,,,
93848,Adaptation Initiative for Climate Vulnerable Offshore Small Islands and Riverine Charland in Bangladesh,Bangladesh,BGD,https://open.undp.org/projects/00093848,Non-VF,Collected,,,,
93849,Improved Cooking Stoves in CHT area (under A2I project),Bangladesh,BGD,https://open.undp.org/projects/00093849,Non-VF,Collected,,,,
93964, Promoting Sustainable Rural Energy Technologies (RETs) for Household and Productive Uses,Ethiopia,ETH,PIMS+ https://co.pims.undp.org/project/view?id=5200,VF,Collected,,,,
94293,GCF-Managing Climate Change Induced Water Shortages,Maldives,MDV,"https://open.undp.org/projects/00094293
PIMS+",VF,Collected,,,,
94384,Sustainable Energy for All,United Republic of Tanzania,TZA,http://open.undp.org/projects/00094384,Non-VF,Collected,,,,
96620,Resource Efficiency in Agriculture & Agrobased Ind.GAP,Turkey,TUR,http://open.undp.org/projects/00096620,Non-VF,Collected,,,,
96640,Modelos de negocios para la producción de biogas,Argentina,ARG,https://open.undp.org/projects/00096640,Non-VF,Collected,,,,
98331,"
Implement collective reparation measures in 7 ethnic communities and one non-ethnic community in photovoltaic power lines and definition of sustainability strategy",Colombia,COL,https://open.undp.org/projects/00098331,Non-VF,Collected,,,,
98348,De-Risking Investment In Energy Efficient Retrofits,Armenia,ARM,https://open.undp.org/projects/00098348 ,Non-VF,Collected,,,,
98897,FRELOCAL - FUENTES RENOVABLES DE ENERGIA - DES LOCAL,Cuba,CUB,http://open.undp.org/projects/00098897,Non-VF,Collected,,,,
99918,Support to SDGs localization in Ukraine,Ukraine,UKR,http://open.undp.org/projects/00099918,,Collected,,,,
100551,"Apoyo a las políticas de ciencia, tecnología e innovación de la Provincia de Buenos Aires",Argentina,ARG,http://open.undp.org/projects/00100551,Non-VF,Collected,,,,
101442,Programme de Consommation Durable et Substitution partielle au bois énergie (Programme Energie-Fonaredd),Dem. Rep. of the Congo,COD,https://open.undp.org/projects/00101442,Non-VF,Collected,,,,
102733,Solar for Health Project,Sudan,SDN,http://open.undp.org/projects/00102733,VF,Collected,,,,
104020,Electrification Rurale et Autonomisation des Femmes,Haiti,HTI,http://open.undp.org/projects/00104020,Non-VF,Collected,,,,
104187,(Suspended until Nov 2023) Rural Renewable Energy,Myanmar,MMR,https://open.undp.org/projects/00104187,Non-VF,Collected,,,,
105415,Green Economic Development Phase II,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00105415,Non-VF,Collected,,,,
105867,Promotion des Petites Centrales Hydroélectriques/PSA,Central African Republic,CAF,https://open.undp.org/projects/00105867,Non-VF,Collected,,,,
105918,Bangladesh: First Biennial Update Report to the UNFCCC,Bangladesh,BGD,https://open.undp.org/projects/00105918,Non-VF,Collected,,,,
106169,Solar for Agriculture Development in Sudan,Sudan,SDN,http://open.undp.org/projects/00106169,Non-VF,Collected,,,,
106770,Enhanced Rural Resilience in Yemen II,Yemen,YEM,http://open.undp.org/projects/00106770,Non-VF,Collected,,,,
107166,Gestion Intégrée des Ressources Naturelles,Guinea,GIN,https://open.undp.org/projects/00107166,Non-VF,Collected,,,,
110061,Tackling Air Pollution in Skopje,North Macedonia,MKD,https://open.undp.org/projects/00110061,Non-VF,Collected,,,,
110105,Fortalecimiento a la gestión ambiental,Ecuador,ECU,https://open.undp.org/projects/00110105,Non-VF,Collected,,,,
110578,Resiliencia Energetica post Irma,Cuba,CUB,http://open.undp.org/projects/00110578,Non-VF,Collected,,,,
111467,Linking the Kigali Amendment with EE in the RAC Sector,Bureau Policy & Prog Support,NA,http://open.undp.org/projects/00111467,Non-VF,Collected,,,,
111777,Governance for Resilience and Sustainability Project ,Myanmar,MMR,https://open.undp.org/projects/00111777,Non-VF,Collected,,,,
112038, Global Climate Change Alliance Plus Trinidad and Tobago  “Support to the  Implementation of Trinidad and Tobago’s Nationally Determined Contribution”,Trinidad & Tobago,TTO,https://open.undp.org/projects/00112038,Non-VF,Collected,,,,
112081,NAMA-Investing in Solar PV,Gambia,GMB,http://open.undp.org/projects/00112081,Non-VF,Collected,,,,
112788,"Forest Carbon Offset Mechanisms, Bitfury initiative",Kazakhstan,KAZ,http://open.undp.org/projects/00112788,Non-VF,Collected,,,,
113007,Electricity and Energy Support,Syria,SYR,http://open.undp.org/projects/00113007,Non-VF,Collected,,,,
114336,Mejor calidad de vida en El Seibo,Dominican Republic,DOM,http://open.undp.org/projects/00114336,Non-VF,Collected,,,,
114367,Environment and social resilience,Turkey,TUR,http://open.undp.org/projects/00114367,Non-VF,Collected,,,,
114485,Policy and Innovation,Cambodia,KHM,http://open.undp.org/projects/00114485,Non-VF,Collected,,,,
115827,Solarisation of Head of State Residences in the Pacific,Fiji,FJI,http://open.undp.org/projects/00115827,Non-VF,Collected,,,,
117633,Accelerating Private Sector Engagement in Climate Resilient and Low Emission Investment Opportunities in Viet Nam’s NDC,Viet Nam,VNM,Accelerating Private Sector Engagement in Climate-Resilient and Low-Emission Investment Opportunities in Viet Nam’s NDC 2019-2023 | United Nations Development Programme (undp.org),Non-VF,Collected,,,,
117913,Résilience des communautés et des écosystèmes,Togo,TGO,http://open.undp.org/projects/00117913,Non-VF,Collected,,,,
118495,ALASS,Cuba,CUB,https://open.undp.org/projects/00118495,Non-VF,Collected,,,,
118602,Climate Smart Solutions in Communities,Armenia,ARM,http://open.undp.org/projects/00118602,Non-VF,Collected,,,,
118895,Cambodia Climate Change Alliance – Phase 3,Cambodia,KHM,http://open.undp.org/projects/00118895,Non-VF,Collected,,,,
118945,MUNICIPIO MARTI ENERGIA SOSTENIBLE,Cuba,CUB,http://open.undp.org/projects/00118945,Non-VF,Collected,,,,
119001,UNDP-China Greater Bay Area Hydrogen Economy Vocational,China,CHN,http://open.undp.org/projects/00119001,Non-VF,Collected,,,,
119366,Transitioning to sustainable energy uses for the agro-in,Sri Lanka,LKA,http://open.undp.org/projects/00119366,Non-VF,Collected,,,,
119439,Trilateral cooperation on Renewable Energy in Ethiopia,China,CHN,http://open.undp.org/projects/00119439,Non-VF,Collected,,,,
120029,Sustainable Energy Programme,Lebanon,LBN,http://open.undp.org/projects/00120029,Non-VF,Collected,,,,
120474,Transition to sustainable energy and economy,Prog for Palestinian People,PSE,http://open.undp.org/projects/00120474,Non-VF,Collected,,,,
120660,Trilateral Cooperation on Biogas and Solar - Transitioning to Sustainable Energy Uses in public and private institutions including in the Agro-Industry ,Ethiopia,ETH,http://open.undp.org/projects/00120660,Non-VF,Collected,,,,
120928,implement & update NDC in energy&indust-process sectors,Tunisia,TUN,http://open.undp.org/projects/00120928,Non-VF,Collected,,,,
128385,Seventh Operational Phase of the GEF Small Grants Programme in Mexico,Mexico,MEX,https://open.undp.org/projects/00128385,Non-VF,Collected,,,,
122410,Technical and Advisory Support to Electricty sector,Saudi Arabia,SAU,http://open.undp.org/projects/00122410,Non-VF,Collected,,,,
122455,Off-grid Renewable Energy Solutions in Rural Suriname,Suriname,SUR,https://open.undp.org/projects/00122455,Non-VF,Collected,,,,
122659,Climate Action for Human Security (Regional project component),Iraq,IRQ,http://open.undp.org/projects/00122659,Non-VF,Collected,,,,
122808,Energy Efficiency Renovation,Serbia,SRB,http://open.undp.org/projects/00122808,Non-VF,Collected,,,,
124212,Services Energétiques Ruraux,Burundi,BDI,http://open.undp.org/projects/00124212,Non-VF,Collected,,,,
124739,SIDA UNDP Strategic Collaboration on Env and CC,Bureau Policy & Prog Support,NA,http://open.undp.org/projects/00124739,Non-VF,Collected,,,,
125105,"Just transition – green biofuel to benefit women in rural areas of 
Kazakhstan.",Kazakhstan,KAZ,https://open.undp.org/projects/00125105,Non-VF,Collected,,,,
125243,Increasing Employability in the Renewable Energy Sector,Turkey,TUR,http://open.undp.org/projects/00125243,Non-VF,Collected,,,,
125400,Accès aux services énergétiques,Niger,NER,http://open.undp.org/projects/00125400,Non-VF,Collected,,,,
126170,Access to Clean and Renewable Energy,Malawi,MWI,http://open.undp.org/projects/00126170,Non-VF,Collected,,,,
126434,Accel. Clean Energy Access to Reduce Inequality (ACCESS),Indonesia,IDN,http://open.undp.org/projects/00126434,Non-VF,Collected,,,,
126532,The ACCESS project,Timor-Leste,TLS,http://open.undp.org/projects/00126532,Non-VF,Collected,,,,
126861,EU4Schools Phase I (Albania),Albania,ALB,https://open.undp.org/projects/00126861,Non-VF,Collected,,,,
128213,Greening the RFM Hospital Demonstration,Eswatini,SWZ,http://open.undp.org/projects/00128213,Non-VF,Collected,,,,
128342,Installation Pompes Solaires,Haiti,HTI,http://open.undp.org/projects/00128342,Non-VF,Collected,,,,
129530,Modernización del Banco de la Nación Argentina,Argentina,ARG,http://open.undp.org/projects/00129530,Non-VF,Collected,,,,
129587,Accelerator Lab – Mozambique,Mozambique,MOZ,http://open.undp.org/projects/00129587,Non-VF,Collected,,,,
129778,Community Infrastructure Support (Albania),Albania,ALB,https://open.undp.org/projects/00129778,Non-VF,Collected,,,,
130007,Attracting investors in the field of energy efficiency,Kazakhstan,KAZ,http://open.undp.org/projects/00130007,Non-VF,Collected,,,,
131266,Green Deal,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00131266,Non-VF,Collected,,,,
132013,Green Economic Development Project – III Phase,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00132013,Non-VF,Collected,,,,
132014,Decarbonzation of Residential Sector in Bosnia and Her,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00132014,Non-VF,Collected,,,,
132984,Croatia Education Recovery Support (Albania),Albania,ALB,https://open.undp.org/projects/00132984,Non-VF,Collected,,,,
133229,COVID 2.0- Beyond Recovery COVID-19,India,IND,http://open.undp.org/projects/00133229,Non-VF,Collected,,,,
133238,Phase II_Climate Smart Solutions,Armenia,ARM,http://open.undp.org/projects/00133238,Non-VF,Collected,,,,
133485,Green Destination Model -ENERJISA,Turkey,TUR,http://open.undp.org/projects/00133485,Non-VF,Collected,,,,
134067,Projet tranfrontalier Burkina RCI-UNDP-BFA-00129636,Burkina Faso,BFA,https://open.undp.org/projects/00134067,Non-VF,Collected,,,,
134123,Accès aux énergies propres dans les zones rurales du Liptako Gourma,Mali,MLI,https://open.undp.org/projects/00134123,Non-VF,Collected,,,,
134410,MP Projects Sri Lanka,Sri Lanka,LKA,http://open.undp.org/projects/00134410,Non-VF,Collected,,,,
134793,Accès aux énergies renouvelables en milieu rural au Togo,Togo,TGO,http://open.undp.org/projects/00134793,Non-VF,Collected,,,,
135006,Libyan electricity & water sector stabilization support,Libya,LBY,http://open.undp.org/projects/00135006,Non-VF,Collected,,,,
135028,Projet d’appui au développement d’offres énergétiques (Chad),Chad,TCD,https://open.undp.org/projects/00135028,Non-VF,Collected,,,,
136271,Collaborate and Innovate-UNDP-BFA-00127230,Burkina Faso,BFA,https://open.undp.org/projects/00136271,Non-VF,Collected,,,,
136365,EE and Retrofits in Turkestan Secondary School,Kazakhstan,KAZ,http://open.undp.org/projects/00136365,Non-VF,Collected,,,,
136664,Energy efficiency for improved air quality in Pljevlja,Montenegro,MNE,http://open.undp.org/projects/00136664,Non-VF,Collected,,,,
137393,Renewable Energy Improved Access to Health Services,Yemen,YEM,http://open.undp.org/projects/00137393,Non-VF,Collected,,,,
137462,Piloting e-mobility within Belize’s Public Transport Sys,Belize,BLZ,http://open.undp.org/projects/00137462,Non-VF,Collected,,,,
139866,Programme Initiation plan energy hub,Bureau Policy & Prog Support,NA,http://open.undp.org/projects/00139866,Non-VF,Collected,,,,
141105,Inclusive Decarbonization Activity IDA,Bosnia and Herzegovina,BIH,http://open.undp.org/projects/00141105,Non-VF,Collected,,,,
141196,Implementation of the Tanzania Energy Efficiency Action,United Republic of Tanzania,TZA,http://open.undp.org/projects/00141196,Non-VF,Collected,,,,
141744,JSB - Net Zero Emissions,Maldives,MDV,https://open.undp.org/projects/00141744,Non-VF,Collected,,,,
142132,Project For Developing Sustainable Agricultural Economy,Maldives,MDV,https://open.undp.org/projects/00142132,Non-VF,Collected,,,,
142290,Climate Promise: From Pledge to Impact,Sri Lanka,LKA,http://open.undp.org/projects/00142290,Non-VF,Collected,,,,
142434,PIP Accelerating Robust Carbon Pricing,Indonesia,IDN,http://open.undp.org/projects/00142434,Non-VF,Collected,,,,
142609,Assist NDC implementation in Albania,Albania,ALB,http://open.undp.org/projects/00142609,Non-VF,Collected,,,,
142763,PDL-145 Territoires,Dem. Rep. of the Congo,COD,https://open.undp.org/projects/00142763,Non-VF,Collected,,,,
142807,Energy Efficiency in Barda and Ganja,Azerbaijan,AZE,http://open.undp.org/projects/00142807,Non-VF,Collected,,,,
143571,BRA/22/007 Desenvolvimento Sul do Piaui,Brazil,BRA,https://open.undp.org/projects/00143571,Non-VF,Collected,,,,
143659,"Nature, Climate, Energy, and Resilience Programme",Uganda,UGA,http://open.undp.org/projects/00143659,Non-VF,Collected,,,,
144124,ROK Solar Irrigation,Cambodia,KHM,https://open.undp.org/projects/00144124,Non-VF,Collected,,,,
144399,Citizen and Private Sector Support for Crisis Relief,Sri Lanka,LKA,https://open.undp.org/projects/00144399,Non-VF,Collected,,,,
144953,Addressing food and energy crisis in North Macedonia,North Macedonia,MKD,http://open.undp.org/projects/00144953,Non-VF,Collected,,,,
145011,JP Food/Energy Resilience,Georgia,GEO,http://open.undp.org/projects/00145011,Non-VF,Collected,,,,
145070,3E4Women,Timor-Leste,TLS,http://open.undp.org/projects/00145070,Non-VF,Collected,,,,
145179,Support to Algeria energy transition,Algeria,DZA,https://open.undp.org/projects/00145179,Non-VF,Collected,,,,
145829,Mainstreaming E-Mobility Through the Conversion of Tuk-T,Sri Lanka,LKA,http://open.undp.org/projects/00145829,Non-VF,Collected,,,,
146913,Fortalecimiento institucional CENACE,Ecuador,ECU,https://open.undp.org/projects/00146913,Non-VF,Collected,,,,
125461,Femmes illuminant les chemins vers la paix,Mali,MLI,https://open.undp.org/projects/00125461,Non-VF,Collected,,,,
5957/ 117647,Energy Efficiency through the Development of Low-carbon RAC Technologies in Trinidad and Tobago,Trinidad & Tobago,TTO,https://open.undp.org/projects/00117647,Non-VF,Collected,,,,
"6161, 106273",Emissions Trading and MRV in Belarus,Belarus,BLR,https://co.pims.undp.org/project/view?id=6161,"VF, Non-VF",Collected,,,,
"6659, 143728",National child project under the GEF Africa Minigrids Program,Niger,NER,PIMS+,VF,Collected,,,,
9691,"Enhancing the enabling environment for investment in renewable energy technologies in the Obock Region, Djibouti (under formulation)",Djibouti,DJI,PIMS+,VF,,,,,
4114,EE in Public Buildings,Ukraine,UKR,PIMS+,,,,,,
5452,Sustainable Cities: Ashgabat and Awaza,Turkmenistan,TKM,https://co.pims.undp.org/project/view?id=5452,,,,,,
5509,Realising Energy Savings and Climate Benefits of Implementing Mandatory Energy Auditing in the Republic of Mauritius ,Mauritius,MUS,Realising Energy Savings and Climate Benefits of Implementing Mandatory Energy Auditing in the Republic of Mauritius ,Non-VF,,,,,
5681,Transformational shift to a low-carbon economy,Mauritius,MUS,5681 Transformational shift to a low-carbon economy (undp.org),Non-VF,,,,,
6486,Promoting Low-carbon Electric Public Bus Transport in Mauritius,Mauritius,MUS,6486 Promoting Low-carbon Electric Public Bus Transport in Mauritius (undp.org),Non-VF,,,,,
6619,Solar for Health ,Namibia,NAM,,VF,,,,,
6692,Energy Efficiency in Building Sector - Turkmenistan,Turkmenistan,TKM,https://co.pims.undp.org/project/view?id=6692,,,,,,
10414,GEF SGP 7th Operational Phase – Core (Part 2),Dominican Republic,DOM,https://www.thegef.org/projects-operations/projects/10414,Non-VF,,,,,
76640,Removal of barriers to sustainable utilization of available biomass resources in the country; and application of biomass energy technologies that can support the economic and social development in the country’s rural sector,Bhutan,BTN,GEF,Non-VF,,,,,
88841,Afghanistan Sustainable Energy for Rural Development (ASERD),Afghanistan,AFG, ,Non-VF,,,,,
91460,Sustainable Energy For ALL,Lesotho,LSO,5367 Lesotho Sustainable Energy for All (undp.org),Non-VF,,,,,
93664,State Revenue Authority (SRA),South Sudan,SSD,,Non-VF,,,,,
98606,Bhutan Sustainable Low Urban Transport Systems,Bhutan,BTN,GEF,Non-VF,,,,,
100344,Enhancing Food and Energy Security through the promotion of Green Technologies,Sri Lanka,LKA,https://open.undp.org/projects/00100344,Non-VF,,,,,
100396,Enhancing Green Transformation in the Pacific towards Net-Zero Emissions and Climate-Resilient Development for Peace ,Papua New Guinea,PNG,,Non-VF,,,,,
101178,Ministry of Local Government and Law Enforcement ,South Sudan,SSD,,Non-VF,,,,,
101419,Improving Rural Development in Georgia (ENPARD 3),Georgia,GEO,https://www.undp.org/georgia/projects/enpard-3,Non-VF,,,,,
102048,Home Projects WRM and Eba in Xe Bang Hieng river basin and LPB city,Lao PDR,LAO,https://undp-my.sharepoint.com/:b:/r/personal/benjamin_rapp_undp_org/Documents/Public/Signed%20ProDoc%20GEF%20IWRM%20Lao%20PDR.pdf?csf=1&web=1&e=RpDFpX,Non-VF,,,,,
103520,Private Sector in Dev.Coopera (RMF Just Transition),Montenegro,MNE,Public and Private Finance for Development | UNDP Transparency Portal,Non-VF,,,,,
104022,Police Office Training Facility,South Sudan,SSD,,Non-VF,,,,,
106668,Programme Environnement et Gest. Durable du Capital Nat,Guinea,GIN,http://open.undp.org/projects/00107168,Non-VF,Collected,,,,
107296,Support to increased production of and access to renewable energy systems in East and West Sepik Provinces (STREIT),Papua New Guinea,PNG,https://open.undp.org/projects/00106668,Non-VF,,,,,
107518,NDC Support Project,Thailand,THA,https://undp.sharepoint.com/:f:/r/teams/THA/IntegratedProgrammeTeam/IGSD%20Document/IGSD%20Document/Support%20document%20on%20Tracking%20the%20Energy%20Moonshot/00107518%20NDC%20Support?csf=1&web=1&e=DJOLKl,Non-VF,,,,,
109904,Sare Demba Toro,Gambia,GMB,https://open.undp.org/projects/00109904,Non-VF,,,,,
112026,Promoting the use of solar technologies for agricultural and rural development in Cambodia and Myanmar,Myanmar,MMR,,Non-VF,,,,,
115727,Upper Nile University,South Sudan,SSD,,Non-VF,,,,,
116195,Supporting recovery and stability through local development in Iraq,Iraq,IRQ,,Non-VF,,,,,
116294,Energy Efficiency and Thermal Comfort in Buildings,India,IND,PIMS+,Non-VF,,,,,
116395,Bangladesh Enabling Electric Vehicles Adoption (BEEVA) in the Framework of Sustainable Energy-based Transportation ,Bangladesh,BGD,,Non-VF,,,,,
117898,Promoting Energy-Related Low Carbon Urban Development in Bangladesh (LCUD),Bangladesh,BGD,https://open.undp.org/projects/00117898,Non-VF,,,,,
118154,Regional stabilization facility,"Cameroon, Republic of",CMR, Cameroun Energy Project,Non-VF,,,,,
